Your mechanic **{mechanic}** chews a toothpick and announces:
**{mechanic}** crawls out from under, wipes their hands, and says:
The inspector **{mechanic}** scribbles on a clipboard and holds it up:
Your buddy **{mechanic}** leans into the engine bay, sniffs once, and says:
Scrapyard regular **{mechanic}** whistles, shakes their head, and tells you:
**{mechanic}** at the hardware store offers their opinion for free:
Your cousin **{mechanic}** squints, taps the fender twice, and concludes:
A skeptical passerby — later identified as **{mechanic}** — notices something and mentions:
**{mechanic}**'s teenage apprentice, covered in oil, pipes up:
**{mechanic}** pours a drink, hands you one, and solemnly states:
**{mechanic}** walks a slow circle, rubs their chin, and delivers the verdict:
**{mechanic}** checks one thing. Just one. And says:
**{mechanic}** looks genuinely sad for you and says:
**{mechanic}** is laughing. Hard. Then they wipe their eyes and say:
**{mechanic}** calls their spouse to come look. They both arrive. They both say:
**{mechanic}** goes quiet for a long moment, then solemnly:
**{mechanic}** whispers something to the car. Then turns to you:
**{mechanic}** holds up a flashlight, squints under the chassis, and announces:
**{mechanic}** consults a worn clipboard, flips three pages, and reports:
**{mechanic}**'s eyebrows do a thing. They explain why:
**{mechanic}**'s eyes widen. They haven't seen this since '94. They disclose:
**{mechanic}** makes eye contact with the car. The car relents. **{mechanic}** translates:
**{mechanic}** goes into the bay, doesn't come out for 20 minutes, emerges to say:
**{mechanic}**'s dog starts barking at the car. **{mechanic}** says:
**{mechanic}** hands back the keys gently, like they're fragile, and informs you:
